epoch,step,train_loss,val_acc,val_ap,val_auroc,val_f1
0,49,2.0037002563476562,,,,
0,99,2.1074163913726807,,,,
0,149,1.8078724145889282,,,,
0,199,1.69310462474823,,,,
0,249,1.892646074295044,,,,
0,299,1.8276218175888062,,,,
0,349,1.818834662437439,,,,
0,399,1.7273715734481812,,,,
0,449,1.7649706602096558,,,,
0,499,1.9168872833251953,,,,
0,549,1.8441226482391357,,,,
0,599,1.8575243949890137,,,,
0,649,1.822822093963623,,,,
0,699,1.6550474166870117,,,,
0,749,1.8330137729644775,,,,
0,799,1.298356533050537,,,,
0,849,1.8174598217010498,,,,
0,899,1.5164422988891602,,,,
0,949,1.674544334411621,,,,
0,999,1.6150786876678467,,,,
0,1049,1.9030652046203613,,,,
0,1099,1.7039825916290283,,,,
0,1149,1.6338056325912476,,,,
0,1199,1.5014621019363403,,,,
0,1249,1.7495648860931396,,,,
0,1299,1.7456650733947754,,,,
0,1349,1.581216812133789,,,,
0,1399,1.6382904052734375,,,,
0,1406,,0.41731885075569153,0.5581871271133423,0.8231407999992371,0.37597519159317017
1,1449,1.5713276863098145,,,,
1,1499,1.6655892133712769,,,,
1,1549,1.53519606590271,,,,
1,1599,1.4221875667572021,,,,
1,1649,1.3647828102111816,,,,
1,1699,1.3976223468780518,,,,
1,1749,1.7226606607437134,,,,
1,1799,1.4346307516098022,,,,
1,1849,1.5972412824630737,,,,
1,1899,1.6291568279266357,,,,
1,1949,1.5921263694763184,,,,
1,1999,1.2533657550811768,,,,
1,2049,1.4621117115020752,,,,
1,2099,1.5059289932250977,,,,
1,2149,1.3474230766296387,,,,
1,2199,1.6834843158721924,,,,
1,2249,1.4741709232330322,,,,
1,2299,1.4528627395629883,,,,
1,2349,1.4465807676315308,,,,
1,2399,1.126882791519165,,,,
1,2449,1.3852787017822266,,,,
1,2499,1.4338014125823975,,,,
1,2549,1.2584015130996704,,,,
1,2599,1.2143038511276245,,,,
1,2649,1.2884896993637085,,,,
1,2699,1.4987022876739502,,,,
1,2749,1.3581141233444214,,,,
1,2799,1.5692836046218872,,,,
1,2813,,0.4776122570037842,0.6325492262840271,0.8524195551872253,0.43961039185523987
2,2849,1.4656271934509277,,,,
2,2899,1.2805120944976807,,,,
2,2949,2.10537052154541,,,,
2,2999,1.5408287048339844,,,,
2,3049,1.1626261472702026,,,,
2,3099,1.2111197710037231,,,,
2,3149,1.3069524765014648,,,,
2,3199,1.3737823963165283,,,,
2,3249,1.0780212879180908,,,,
2,3299,1.301140308380127,,,,
